Turkey Tomato Cheese Pizza,"[6.0, 'servings', 'green bell pepper', 6.0, 'servings', 'parsley', 6.0, 'servings', 'bell pepper', 6.0, 'servings', 'pie crust', 6.0, 'servings', 'roma tomato', 1.0, 'oz', 'shredded mozzarella cheese', 6.0, 'servings', 'tomato sauce', 0.5, 'cup', 'turkey breast', 6.0, 'servings', 'white onion']"
Salmon Quinoa Risotto,"[1.0, 'cup', 'quinoa', 1.0, 'medium', 'onion', 8.0, 'Leaves', 'kale', 5.0, '', 'garlic cloves', 3.0, 'tablespoons', 'olive oil', 10.0, 'ounces', 'salmon', 32.0, 'ounces', 'vegetable stock', 1.0, 'serving', 'salt', 1.0, 'serving', 'bell pepper']"
